State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Employed,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTrans,WorkatHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Poverty,ChildPoverty,Unemployment
Alabama,4830620,2341093,2489527,193191.55699999997,3204688.466,1270589.4200000002,22035.628,59354.70199999999,1095.3180000000002,3620994,37973.13432835821,2250.3432835820895,20780.940298507463,1029.7910447761194,2022325,673290.074,339066.73699999985,488108.12000000005,200122.81899999996,321620.41600000014,1728068.9980000001,185591.941,8399.694,22583.214,21027.491000000005,56291.769,25.92985074626864,1583343.0620000004,329464.27499999985,105899.501,3741.5029999999992,910514.2960000001,1318510.6570000004,454469.5980000001
Alaska,733375,384160,349215,47872.021000000015,457452.8659999999,23626.875999999993,98392.14400000001,42337.394000000015,8648.932000000003,523946,64197.10344827586,5383.310344827586,30332.96551724138,2260.5862068965516,351108,127189.68399999996,61324.825999999994,79701.162,43912.889,39026.687000000005,237378.695,44273.87200000001,5719.339999999999,27909.671999999988,19762.186999999998,16095.567000000001,11.227586206896554,240075.74499999997,88188.94900000002,22204.18500000001,641.8230000000001,74625.98199999997,99631.15000000001,61944.137
Arizona,6641928,3299088,3342840,2015062.8630000001,3751935.669999999,263020.036,265843.505,193808.98000000004,11591.873,4526594,43252.2,1892.6666666666667,21052.533333333333,728.5333333333333,2813406,987215.5380000001,559390.6789999999,738739.933,258632.78,271431.8,2151705.9280000003,310969.028,59504.673,58264.396,77260.65299999999,156284.32100000003,21.719999999999995,2230890.5949999997,412333.5529999999,166408.968,5509.656000000002,1210358.6400000001,1724496.524,603931.233
Arkansas,2958208,1451913,1506295,203252.52099999995,2177132.3449999997,456641.2460000001,16567.564,39995.948,6634.705,2164083,36626.48,2590.266666666667,20072.02666666667,1247.32,1256081,401521.643,214422.20199999993,300034.426,134426.729,205698.06999999992,1036875.0619999998,135512.06900000002,5498.588,22015.882999999987,15621.943,40293.07699999999,23.168000000000006,969666.5490000002,205375.413,78649.194,2429.898,571559.7080000002,821253.3019999999,231175.74699999997
California,38421464,19087135,19334329,14746532.032999998,14878725.560999997,2157961.356,144703.993,5192711.429,133270.866,24280349,56013.15517241379,2242.1206896551726,27902.603448275862,947.1724137931035,17246360,6430918.826999999,3239635.6870000004,4090455.963000001,1583579.2339999997,1904393.5599999996,12652537.630999995,1861464.4879999994,905726.075,468822.16600000014,437405.81,917149.1619999999,24.96551724137931,13403815.123,2381748.7839999995,1434112.6609999996,34124.866,6260493.909999998,8451676.91,3845640.469999999
Colorado,5278906,2648667,2630239,1112575.628,3645899.058999999,202914.1729999999,28890.705999999995,150856.98599999998,6100.683,3750953,51263.1875,3863.390625,27747.25,2083.265625,2624436,1061339.817,457844.4329999999,625337.5710000003,246120.41500000004,234240.1640000001,1974871.0599999996,249020.38799999998,83903.74100000001,77574.071,63289.14400000001,175850.855,21.1703125,2086236.4359999993,365834.0449999999,167745.69000000003,5066.324000000001,671136.2210000005,887085.2800000001,371214.784
Connecticut,3593222,1751607,1841615,527256.773,2487570.943,347027.48299999995,4143.359,149296.496,0.0,2574178,71184.125,1449.75,37025.125,662.625,1781417,742781.5070000001,316973.358,419158.46900000004,132023.547,170954.534,1395575.1060000001,146298.08099999998,86397.921,53747.202,20732.34,78078.38799999999,25.4875,1429346.0869999998,235299.20900000003,112641.044,2996.047,377782.10699999996,513923.727,316994.46199999994
Delaware,926454,448413,478041,80657.025,591725.6429999999,195086.302,2738.246,33322.161,0.0,681606,58067.666666666664,1100.3333333333333,28952.0,494.0,433816,166437.343,80270.161,104823.155,36898.386,45655.28599999999,351671.387,36443.492,13253.336,9436.053,4879.594,18132.138,25.53333333333333,353078.591,63124.950000000004,17028.150999999998,584.308,111663.069,162815.527,71496.498
District of Columbia,647484,306674,340810,66043.368,230504.30400000003,310792.32,1294.968,23309.424,0.0,485116,70848.0,843.0,47675.0,568.0,337815,205729.335,51347.88,58779.80999999999,9796.635,12499.155,113843.65500000001,19255.455,126342.81,43578.135,17566.38,16890.75,29.7,236470.5,85805.01,14863.860000000002,337.815,116547.12,172878.228,62158.46399999999
Florida,19645772,9600009,10045763,4662134.837,11013332.006000003,3033825.6819999986,41319.372,499744.14199999993,7714.932999999999,13933052,44046.477611940296,1992.3880597014925,23501.850746268658,991.0895522388059,8541291,2908837.6300000004,1755789.664,2335016.5209999993,768909.083,772436.8549999999,6798283.177,807950.4140000001,181820.86000000007,124806.88800000002,189675.01700000008,436023.78299999994,25.947761194029855,6957854.924999998,1067113.2300000004,503092.39400000003,12976.272,3254148.4429999995,4730196.606,1912549.352
