,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Employed,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTrans,WorkatHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Poverty,ChildPoverty,Unemployment
0,Alabama,Autauga County,55036,26899,28137,1485.9720000000002,41497.144,10401.803999999998,165.108,495.324,0.0,41016,55317,2838,27824,2024,24112,8511.536,4340.16,5593.984,1953.072,3713.248,20736.32,2314.752,24.112000000000002,144.672,313.456,602.8,25.8,17866.992,4870.624,1350.272,24.112000000000002,7539.932,11062.236,2861.8720000000003
1,Alabama,Baldwin County,203360,99527,103833,8947.840000000002,168992.16,19319.2,1626.88,1423.52,0.0,155376,52562,1348,29364,735,89527,31961.139000000003,16293.913999999999,22918.912,8684.118999999999,9668.916000000001,75829.369,6804.052,89.527,716.216,984.7970000000001,5013.512,27.0,72248.289,11548.983,5640.201,89.527,23996.48,32740.960000000006,11184.8
2,Alabama,Barbour County,26201,13976,12225,1100.442,11973.857000000002,12524.077999999998,52.40200000000001,157.206,0.0,20269,33368,2551,17561,798,8878,2219.5,1491.504,2006.428,1020.97,2139.598,7404.252,985.4580000000001,26.634,195.31600000000003,150.92600000000002,115.414,23.4,6578.597999999999,1695.698,577.07,26.634,7126.672,11764.249,3248.9240000000004
3,Alabama,Bibb County,22580,12251,10329,541.92,16844.679999999997,4967.6,90.32,0.0,0.0,17662,43404,3431,20911,1889,8171,1993.724,1438.096,1609.687,1299.189,1830.3039999999999,7059.744000000001,776.245,57.196999999999996,24.512999999999998,138.90699999999998,122.565,30.0,6209.96,1421.754,514.7729999999999,24.512999999999998,3432.16,6006.28,1851.5599999999997
4,Alabama,Blount County,57667,28490,29177,5190.03,50400.958000000006,865.005,173.00099999999998,57.66700000000001,0.0,42513,47412,2630,22021,850,21380,6093.3,2758.02,4981.54,3378.04,4169.1,18557.84,2180.7599999999998,21.38,85.52,85.52,448.98,35.0,17937.820000000003,2544.22,855.2,21.38,8996.052,14647.417999999998,2825.6830000000004
5,Alabama,Bullock County,10478,5616,4862,31.434,2263.248,7921.3679999999995,104.78,73.34599999999999,0.0,8212,29655,5376,20856,2355,4290,845.13,733.59,797.94,600.6,1312.74,3135.99,673.53,12.87,265.98,72.93,128.7,29.8,3492.06,583.44,214.5,0.0,2986.23,5280.911999999999,1267.838
6,Alabama,Butler County,20126,9416,10710,60.378,10505.771999999999,8996.322,20.126,221.38600000000002,0.0,15459,36326,2701,19004,943,7727,2078.563,1336.771,1429.495,896.332,1985.839,6459.772,973.602,0.0,69.543,69.543,154.54,23.2,6112.057,1182.231,409.531,23.180999999999997,4910.744,7003.847999999999,1529.576
7,Alabama,Calhoun County,115527,55593,59934,4158.972,83988.129,23567.507999999998,231.054,1155.27,0.0,88383,43686,1491,23638,793,47392,13743.68,8293.6,11231.903999999999,4928.768,9194.047999999999,40283.2,4360.063999999999,94.78399999999999,616.096,521.312,1516.5439999999999,24.8,35496.608,9431.008,2416.9919999999997,47.391999999999996,21488.022,30730.182,11668.226999999999
8,Alabama,Chambers County,33895,16320,17575,745.69,19048.99,13320.735,101.685,338.95,0.0,26259,37342,2011,22002,1205,14527,3530.061,1961.145,3341.21,1685.1319999999998,4009.452,12653.017,1409.119,29.054000000000002,87.16199999999999,72.635,290.54,23.6,12275.315,1714.1860000000001,537.499,0.0,6372.26,9863.445,2169.28
9,Alabama,Cherokee County,25855,12862,12993,413.68,23734.89,1292.75,129.275,25.855,0.0,20620,40041,2316,23010,1354,9879,2845.152,1462.092,1788.0990000000002,1175.601,2617.935,8397.15,1195.359,39.516000000000005,29.636999999999997,29.636999999999997,197.58,26.5,7389.491999999999,1689.3090000000002,800.199,0.0,4162.655000000001,5171.0,1370.315
