State Code,State,Region,Division,lat,lon
AK,Alaska,West,Pacific,63.588753,-154.493062
AL,Alabama,South,East South Central,32.318231,-86.902298
AR,Arkansas,South,West South Central,35.20105,-91.831833
AZ,Arizona,West,Mountain,34.048928,-111.093731
CA,California,West,Pacific,36.778261,-119.417932
CO,Colorado,West,Mountain,39.550051,-105.782067
CT,Connecticut,Northeast,New England,41.603221,-73.087749
DC,District of Columbia,South,South Atlantic,38.905985,-77.033418
DE,Delaware,South,South Atlantic,38.910832,-75.52767
FL,Florida,South,South Atlantic,27.664827,-81.515754
GA,Georgia,South,South Atlantic,32.157435,-82.907123
HI,Hawaii,West,Pacific,19.898682,-155.665857
IA,Iowa,Midwest,West North Central,41.878003,-93.097702
ID,Idaho,West,Mountain,44.068202,-114.742041
IL,Illinois,Midwest,East North Central,40.633125,-89.398528
IN,Indiana,Midwest,East North Central,40.551217,-85.602364
KS,Kansas,Midwest,West North Central,39.011902,-98.484246
KY,Kentucky,South,East South Central,37.839333,-84.270018
LA,Louisiana,South,West South Central,31.244823,-92.145024
MA,Massachusetts,Northeast,New England,42.407211,-71.382437
MD,Maryland,South,South Atlantic,39.045755,-76.641271
ME,Maine,Northeast,New England,45.253783,-69.445469
MI,Michigan,Midwest,East North Central,44.314844,-85.602364
MN,Minnesota,Midwest,West North Central,46.729553,-94.6859
MO,Missouri,Midwest,West North Central,37.964253,-91.831833
MS,Mississippi,South,East South Central,32.354668,-89.398528
MT,Montana,West,Mountain,46.879682,-110.362566
NC,North Carolina,South,South Atlantic,35.759573,-79.0193
ND,North Dakota,Midwest,West North Central,47.551493,-101.002012
NE,Nebraska,Midwest,West North Central,41.492537,-99.901813
NH,New Hampshire,Northeast,New England,43.193852,-71.572395
NJ,New Jersey,Northeast,Middle Atlantic,40.058324,-74.405661
NM,New Mexico,West,Mountain,34.97273,-105.032363
NV,Nevada,West,Mountain,38.80261,-116.419389
NY,New York,Northeast,Middle Atlantic,43.299428,-74.217933
OH,Ohio,Midwest,East North Central,40.417287,-82.907123
OK,Oklahoma,South,West South Central,35.007752,-97.092877
OR,Oregon,West,Pacific,43.804133,-120.554201
PA,Pennsylvania,Northeast,Middle Atlantic,41.203322,-77.194525
RI,Rhode Island,Northeast,New England,41.580095,-71.477429
SC,South Carolina,South,South Atlantic,33.836081,-81.163725
SD,South Dakota,Midwest,West North Central,43.969515,-99.901813
TN,Tennessee,South,East South Central,35.517491,-86.580447
TX,Texas,South,West South Central,31.968599,-99.901813
UT,Utah,West,Mountain,39.32098,-111.093731
VA,Virginia,South,South Atlantic,37.431573,-78.656894
VT,Vermont,Northeast,New England,44.558803,-72.577841
WA,Washington,West,Pacific,47.751074,-120.740139
WI,Wisconsin,Midwest,East North Central,43.78444,-88.787868
WV,West Virginia,South,South Atlantic,38.597626,-80.454903
WY,Wyoming,West,Mountain,43.075968,-107.290284
PR,Puerto Rico,South,South Atlantic,18.220833,-66.590149
