realtime_start,value,date,realtime_end
2019-12-06,76094000,1900-01-01,2019-12-06
2019-12-06,77584000,1901-01-01,2019-12-06
2019-12-06,79163000,1902-01-01,2019-12-06
2019-12-06,80632000,1903-01-01,2019-12-06
2019-12-06,82166000,1904-01-01,2019-12-06
2019-12-06,83822000,1905-01-01,2019-12-06
2019-12-06,85450000,1906-01-01,2019-12-06
2019-12-06,87008000,1907-01-01,2019-12-06
2019-12-06,88710000,1908-01-01,2019-12-06
2019-12-06,90490000,1909-01-01,2019-12-06
2019-12-06,92407000,1910-01-01,2019-12-06
2019-12-06,93863000,1911-01-01,2019-12-06
2019-12-06,95335000,1912-01-01,2019-12-06
2019-12-06,97225000,1913-01-01,2019-12-06
2019-12-06,99111000,1914-01-01,2019-12-06
2019-12-06,100546000,1915-01-01,2019-12-06
2019-12-06,101961000,1916-01-01,2019-12-06
2019-12-06,103268000,1917-01-01,2019-12-06
2019-12-06,103208000,1918-01-01,2019-12-06
2019-12-06,104514000,1919-01-01,2019-12-06
2019-12-06,106461000,1920-01-01,2019-12-06
2019-12-06,108538000,1921-01-01,2019-12-06
2019-12-06,110049000,1922-01-01,2019-12-06
2019-12-06,111947000,1923-01-01,2019-12-06
2019-12-06,114109000,1924-01-01,2019-12-06
2019-12-06,115829000,1925-01-01,2019-12-06
2019-12-06,117397000,1926-01-01,2019-12-06
2019-12-06,119035000,1927-01-01,2019-12-06
2019-12-06,120509000,1928-01-01,2019-12-06
2019-12-06,121767000,1929-01-01,2019-12-06
2019-12-06,123076741,1930-01-01,2019-12-06
2019-12-06,124039648,1931-01-01,2019-12-06
2019-12-06,124840471,1932-01-01,2019-12-06
2019-12-06,125578763,1933-01-01,2019-12-06
2019-12-06,126373773,1934-01-01,2019-12-06
2019-12-06,127250232,1935-01-01,2019-12-06
2019-12-06,128053180,1936-01-01,2019-12-06
2019-12-06,128824829,1937-01-01,2019-12-06
2019-12-06,129824939,1938-01-01,2019-12-06
2019-12-06,130879718,1939-01-01,2019-12-06
2019-12-06,132122446,1940-01-01,2019-12-06
2019-12-06,133402471,1941-01-01,2019-12-06
2019-12-06,134859553,1942-01-01,2019-12-06
2019-12-06,136739353,1943-01-01,2019-12-06
2019-12-06,138397345,1944-01-01,2019-12-06
2019-12-06,139928165,1945-01-01,2019-12-06
2019-12-06,141388566,1946-01-01,2019-12-06
2019-12-06,144126071,1947-01-01,2019-12-06
2019-12-06,146631302,1948-01-01,2019-12-06
2019-12-06,149188130,1949-01-01,2019-12-06
2019-12-06,152271417,1950-01-01,2019-12-06
2019-12-06,154877889,1951-01-01,2019-12-06
2019-12-06,157552740,1952-01-01,2019-12-06
2019-12-06,160184192,1953-01-01,2019-12-06
2019-12-06,163025854,1954-01-01,2019-12-06
2019-12-06,165931202,1955-01-01,2019-12-06
2019-12-06,168903031,1956-01-01,2019-12-06
2019-12-06,171984130,1957-01-01,2019-12-06
2019-12-06,174881904,1958-01-01,2019-12-06
2019-12-06,177829628,1959-01-01,2019-12-06
2019-12-06,180671158,1960-01-01,2019-12-06
2019-12-06,183691481,1961-01-01,2019-12-06
2019-12-06,186537737,1962-01-01,2019-12-06
2019-12-06,189241798,1963-01-01,2019-12-06
2019-12-06,191888791,1964-01-01,2019-12-06
2019-12-06,194302963,1965-01-01,2019-12-06
2019-12-06,196560338,1966-01-01,2019-12-06
2019-12-06,198712056,1967-01-01,2019-12-06
2019-12-06,200706052,1968-01-01,2019-12-06
2019-12-06,202676946,1969-01-01,2019-12-06
2019-12-06,205052174,1970-01-01,2019-12-06
2019-12-06,207660677,1971-01-01,2019-12-06
2019-12-06,209896021,1972-01-01,2019-12-06
2019-12-06,211908788,1973-01-01,2019-12-06
2019-12-06,213853928,1974-01-01,2019-12-06
2019-12-06,215973199,1975-01-01,2019-12-06
2019-12-06,218035164,1976-01-01,2019-12-06
2019-12-06,220239425,1977-01-01,2019-12-06
2019-12-06,222584545,1978-01-01,2019-12-06
2019-12-06,225055487,1979-01-01,2019-12-06
2019-12-06,227224681,1980-01-01,2019-12-06
2019-12-06,229465714,1981-01-01,2019-12-06
2019-12-06,231664458,1982-01-01,2019-12-06
2019-12-06,233791994,1983-01-01,2019-12-06
2019-12-06,235824902,1984-01-01,2019-12-06
2019-12-06,237923795,1985-01-01,2019-12-06
2019-12-06,240132887,1986-01-01,2019-12-06
2019-12-06,242288918,1987-01-01,2019-12-06
2019-12-06,244498982,1988-01-01,2019-12-06
2019-12-06,246819230,1989-01-01,2019-12-06
2019-12-06,249464396,1990-01-01,2019-12-06
2019-12-06,252153092,1991-01-01,2019-12-06
2019-12-06,255029699,1992-01-01,2019-12-06
2019-12-06,257782608,1993-01-01,2019-12-06
2019-12-06,260327021,1994-01-01,2019-12-06
2019-12-06,262803276,1995-01-01,2019-12-06
2019-12-06,265228572,1996-01-01,2019-12-06
2019-12-06,267783607,1997-01-01,2019-12-06
2019-12-06,270248003,1998-01-01,2019-12-06
2019-12-06,272690813,1999-01-01,2019-12-06
