State Code,State,County,Region,Division,lat,lng
AK,Alaska,Bethel,West,Pacific,60.7287,-161.773
AK,Alaska,Prince of Wales-Hyder,West,Pacific,55.5573,-132.4137
AK,Alaska,Kusilvak,West,Pacific,62.0911,-163.7209
AK,Alaska,Yukon-Koyukuk,West,Pacific,65.1746,-152.0684
AK,Alaska,Kenai Peninsula,West,Pacific,60.4997,-149.4464
AK,Alaska,Southeast Fairbanks,West,Pacific,63.8724,-145.2158
AK,Alaska,Aleutians West,West,Pacific,52.2301,-174.2133
AK,Alaska,Sitka,West,Pacific,57.2401,-135.3153
AK,Alaska,Petersburg Borough,West,Pacific,56.7566,-132.8727
AK,Alaska,Northwest Arctic,West,Pacific,66.9726,-160.4344
AK,Alaska,Valdez-Cordova,West,Pacific,62.2152,-145.4449
AK,Alaska,Nome,West,Pacific,65.3413,-166.4953
AK,Alaska,Aleutians East,West,Pacific,54.8415,-163.348
AK,Alaska,Wrangell,West,Pacific,56.3317,-132.0223
AK,Alaska,Matanuska-Susitna,West,Pacific,61.3463,-150.0787
AK,Alaska,Haines,West,Pacific,59.471,-136.1458
AK,Alaska,North Slope,West,Pacific,68.15,-151.7162
AK,Alaska,Lake and Peninsula,West,Pacific,59.7957,-154.8698
AK,Alaska,Fairbanks North Star,West,Pacific,64.9061,-147.6957
AK,Alaska,Denali,West,Pacific,63.5909,-148.7107
AK,Alaska,Bristol Bay,West,Pacific,58.753,-156.5061
AK,Alaska,Kodiak Island,West,Pacific,57.8754,-152.8745
AK,Alaska,Hoonah-Angoon,West,Pacific,59.3987,-135.8886
AK,Alaska,Dillingham,West,Pacific,58.9049,-157.6691
AK,Alaska,Ketchikan Gateway,West,Pacific,55.3232,-131.5891
AK,Alaska,Juneau,West,Pacific,58.4546,-134.1739
AK,Alaska,Yakutat,West,Pacific,59.567,-139.5966
AK,Alaska,Anchorage,West,Pacific,61.1508,-149.1091
AK,Alaska,Skagway,West,Pacific,59.4566,-135.2927
AL,Alabama,Madison,South,East South Central,34.8491,-86.5222
AL,Alabama,Covington,South,East South Central,31.3006,-86.3975
AL,Alabama,Clarke,South,East South Central,31.9111,-87.7419
AL,Alabama,Blount,South,East South Central,33.8789,-86.8241
AL,Alabama,Coosa,South,East South Central,32.9791,-86.0358
AL,Alabama,Lawrence,South,East South Central,34.6718,-87.4063
AL,Alabama,Etowah,South,East South Central,33.9446,-85.9319
AL,Alabama,Talladega,South,East South Central,33.3891,-86.0361
AL,Alabama,Houston,South,East South Central,31.1858,-85.2359
AL,Alabama,Marion,South,East South Central,33.9443,-87.8704
AL,Alabama,Calhoun,South,East South Central,33.5966,-85.869
AL,Alabama,Jefferson,South,East South Central,33.544,-86.6599
AL,Alabama,Elmore,South,East South Central,32.6314,-86.3268
AL,Alabama,Tallapoosa,South,East South Central,33.0567,-85.9312
AL,Alabama,Baldwin,South,East South Central,30.2758,-87.7014
AL,Alabama,Tuscaloosa,South,East South Central,33.2302,-87.4827
AL,Alabama,Clay,South,East South Central,33.3129,-85.7508
AL,Alabama,Walker,South,East South Central,33.7503,-87.0483
AL,Alabama,Dale,South,East South Central,31.2999,-85.4502
AL,Alabama,Lee,South,East South Central,32.6049,-85.5948
AL,Alabama,Pickens,South,East South Central,33.322,-87.904
AL,Alabama,Jackson,South,East South Central,34.6438,-86.0491
AL,Alabama,Barbour,South,East South Central,31.781,-85.5583
AL,Alabama,Sumter,South,East South Central,32.5982,-88.1891
AL,Alabama,Marshall,South,East South Central,34.5189,-86.2492
AL,Alabama,Conecuh,South,East South Central,31.3001,-87.027
AL,Alabama,Mobile,South,East South Central,30.2525,-88.1438
AL,Alabama,Shelby,South,East South Central,33.2846,-86.8756
AL,Alabama,Monroe,South,East South Central,31.3074,-87.4992
AL,Alabama,Dallas,South,East South Central,32.4166,-87.0336
